ano;codigo;uf;vinculos_executivo_federal;vinculos_executivo_estadual;vinculos_executivo_municipal;vinculos_legislativo_federal;vinculos_legislativo_estadual;vinculos_legislativo_municipal;vinculos_judiciario_federal;vinculos_judiciario_estadual
2019;43;RS;39380;140253;335563;0;2196;8315;7457;13732
2019;42;SC;20866;97364;256802;0;2674;4816;3387;10642
2019;41;PR;26169;190763;347327;0;3905;6375;5326;13439
2019;21;MA;10083;74089;234694;0;3530;5589;1825;5549
2019;35;SP;56431;668247;1063510;0;7071;20781;21275;45590
2019;16;AP;9506;37398;13434;0;3292;1728;393;2042
2019;17;TO;5348;56683;61880;0;4132;2406;586;3537
2019;33;RJ;168004;159241;459238;0;9094;13956;10623;21412
2019;32;ES;11487;60641;142391;0;2461;5668;1846;3840
2019;31;MG;55107;337171;776553;0;6215;17870;8618;20492
2019;11;RO;13164;46331;54814;0;4754;2058;1446;4760
2019;29;BA;30146;77494;480619;0;6852;12814;5155;10715
2019;28;SE;7127;41643;67291;0;3441;2323;1154;3954
2019;27;AL;8751;43106;122114;0;529;2836;1627;2682
2019;26;PE;21896;124774;230735;0;3378;9305;4898;8856
2019;25;PB;17304;65026;165604;0;0;4591;2215;448
2019;24;RN;19715;54283;134019;0;2964;4402;1851;3738
2019;23;CE;21874;110422;370053;0;7727;5284;3090;6458
