ano;codigo;uf;vinculos_executivo_federal;vinculos_executivo_estadual;vinculos_executivo_municipal;vinculos_legislativo_federal;vinculos_legislativo_estadual;vinculos_legislativo_municipal;vinculos_judiciario_federal;vinculos_judiciario_estadual
1996;16;AP;1114;13760;3388;14;164;386;173;1063
1996;11;RO;11086;28125;18269;18;983;313;844;1955
1996;15;PA;19045;102420;48432;27;2302;1126;1749;2878
1996;14;RR;8621;582;0;19;118;226;172;131
1996;13;AM;9037;40553;23176;27;1349;571;1310;1055
1997;11;RO;4524;36696;18148;19;1001;313;1033;2205
1997;53;DF;227619;96435;0;14911;2345;0;20947;31
1997;52;GO;8170;72289;76043;31;582;995;1226;3875
1997;51;MT;5493;33756;29501;20;1543;972;803;3006
1997;50;MS;7791;40643;33688;18;2314;722;812;2590
1997;43;RS;19656;158610;199709;33;0;2050;4687;8070
1997;42;SC;8724;72467;101741;28;1602;1033;1925;3538
1997;41;PR;11599;140274;194662;29;1629;1848;2487;4824
1997;35;SP;37359;694918;601632;40;4416;11881;11411;43000
1997;33;RJ;140801;207225;220943;81;2186;5300;6801;12144
1997;32;ES;6270;41090;56438;30;613;1030;991;2423
1997;31;MG;33957;240911;321205;46;5015;5714;4606;9738
1997;29;BA;17715;180744;139110;43;1588;1275;2953;8395
1997;28;SE;3351;40152;27255;18;960;357;753;2087
1997;27;AL;4996;28859;44386;19;1998;581;897;1258
1997;26;PE;17952;103292;115740;34;1018;3132;2251;3370
1997;25;PB;7187;62903;71862;26;0;733;1683;0
1997;24;RN;9589;55722;47542;28;0;913;1190;0
1997;23;CE;15307;84068;113356;37;1930;1153;1492;2095
1997;22;PI;4799;50834;28909;22;1768;304;665;1740
1997;21;MA;8867;67552;45714;30;862;1817;788;2668
1997;17;TO;1571;27081;11942;20;1153;229;211;929
1997;16;AP;3209;13190;1797;15;175;349;193;1145
1997;15;PA;16911;96921;51708;27;2380;1316;1460;2945
1997;14;RR;8687;1233;95;18;130;95;197;565
1997;13;AM;8474;45063;23123;27;1180;576;1359;1190
1997;12;AC;1696;25355;7886;20;621;344;204;944
1998;11;RO;5069;34978;22649;0;1035;318;1034;2220
1998;53;DF;251948;106532;0;15734;2396;0;20741;48
1998;52;GO;11605;71927;84430;0;982;880;1609;4026
1998;51;MT;8332;31440;31772;0;924;1147;889;2938
1998;50;MS;8883;39622;36468;0;2170;776;831;2755
1998;43;RS;31450;154482;208882;0;0;2423;4820;8377
1998;42;SC;12815;70405;106104;0;1558;1011;1737;3820
1998;41;PR;18261;140912;196026;0;1741;2124;1944;5030
1998;35;SP;50761;684156;605076;0;4433;12513;11989;46071
1998;33;RJ;165462;205080;227096;0;2436;5605;7619;7186
1998;32;ES;8129;38666;67370;0;664;1620;1003;3261
1998;31;MG;45125;319664;357808;0;4474;6002;5831;10485
1998;29;BA;27219;182703;148749;0;1629;1454;3804;9143
1998;28;SE;4702;38333;29022;0;992;345;757;2168
1998;27;AL;6520;28527;44735;0;1795;609;953;1768
1998;26;PE;26529;101014;120505;0;1007;3166;2271;3144
1998;25;PB;14317;64249;77889;0;0;825;1609;1
1998;24;RN;14152;54031;49687;0;0;1029;1298;0
